Catchment,Latitude,Longitude,Year,Stream Flow Cal Yr,Stream Flow Wat Yr,Stream 0 Flow Days
38,47.047811,-84.4078909,2001,1.412246575,0.878958904,74
38,47.047811,-84.4078909,2002,1.330849315,1.568767123,47
38,47.047811,-84.4078909,2003,0.972767123,0.930931507,55
38,47.047811,-84.4078909,2004,1.256557377,1.333551913,40
38,47.047811,-84.4078909,2005,0.63309589,0.815643836,104
38,47.047811,-84.4078909,2006,0.822054795,0.624849315,149
38,47.047811,-84.4078909,2007,0.928739726,0.910219178,95
38,47.047811,-84.4078909,2008,0.936229508,1.24704918,57
38,47.047811,-84.4078909,2009,1.172767123,0.99369863,25
38,47.047811,-84.4078909,2010,0.904931507,0.877506849,38
38,47.047811,-84.4078909,2011,1.088739726,1.146,43
39,47.04367,-84.3959797,1981,3.409945205,4.139450549,
39,47.04367,-84.3959797,1982,3.546630137,2.461342466,50
39,47.04367,-84.3959797,1983,3.009726027,3.693287671,31
39,47.04367,-84.3959797,1984,2.969644809,2.477786885,0
39,47.04367,-84.3959797,1985,2.826328767,3.354712329,0
39,47.04367,-84.3959797,1986,2.711424658,2.772931507,0
39,47.04367,-84.3959797,1987,1.946493151,1.629315068,15
39,47.04367,-84.3959797,1988,4.132677596,3.649289617,0
39,47.04367,-84.3959797,1989,2.584684932,3.505863014,8
39,47.04367,-84.3959797,1990,2.954876712,2.672,0
39,47.04367,-84.3959797,1991,3.080410959,2.57509589,18
39,47.04367,-84.3959797,1992,3.082896175,3.29579235,0
39,47.04367,-84.3959797,1993,4.429616438,4.386931507,0
39,47.04367,-84.3959797,1994,2.437013699,2.896739726,0
39,47.04367,-84.3959797,1995,2.773726027,2.380657534,0
39,47.04367,-84.3959797,1996,3.261584699,3.538770492,0
39,47.04367,-84.3959797,1997,1.987013699,2.692027397,6
39,47.04367,-84.3959797,1998,2.26569863,1.533753425,0
39,47.04367,-84.3959797,1999,2.360630137,2.55630137,0
39,47.04367,-84.3959797,2000,2.166584699,2.55363388,3
39,47.04367,-84.3959797,2001,3.337945205,2.094849315,38
39,47.04367,-84.3959797,2002,2.899068493,3.667780822,0
39,47.04367,-84.3959797,2003,3.642438356,2.762657534,51
39,47.04367,-84.3959797,2004,2.812076503,3.894071038,0
39,47.04367,-84.3959797,2005,2.607424658,1.676575342,22
39,47.04367,-84.3959797,2006,2.173342466,2.65030137,47
39,47.04367,-84.3959797,2007,1.844219178,2.144246575,49
39,47.04367,-84.3959797,2008,2.403661202,2.873224044,25
39,47.04367,-84.3959797,2009,2.87430137,2.384794521,11
39,47.04367,-84.3959797,2010,1.313479452,1.565068493,55
39,47.04367,-84.3959797,2011,2.095287671,1.75090411,22
42,47.052117,-84.3974117,1981,2.904739726,3.4403663,
42,47.052117,-84.3974117,1982,3.094082192,2.24490411,49
42,47.052117,-84.3974117,1983,2.448219178,3.049123288,45
42,47.052117,-84.3974117,1984,2.707540984,2.267513661,14
